id,text,target,target_sentiment,companies_sentiment,consumers_sentiment
69737.0,Renfe afronta mañana un nuevo día de paros parciales de los maquinistas,Renfe,negative,negative,negative
71795.0,Presupuesto populista con cimientos frágiles,Presupuesto populista,negative,negative,negative
77984.0,Biden no cree que la OPEP+ vaya a ayudar con los precios del petróleo,OPEP+,negative,negative,negative
82648.0,La deuda de las familias cae en 25.000 millones en 2015 y marca niveles previos a la crisis,deuda de las familias,positive,positive,positive
97337.0,"Bestinver: no hay ""momento más inoportuno"" para el Brexit",Bestinver,negative,negative,negative
118683.0,El número de desempleados aumenta en 932 personas en octubre,desempleados,negative,negative,negative
128066.0,La sombra de Donald Trump se cierne sobre la economía mexicana,Donald Trump,negative,negative,negative
134608.0,Grecia pide 3.000 millones al Banco Mundial para crear 300.000 empleos,Grecia,negative,negative,positive
161520.0,Pensiones en España: tenemos un problema,Pensiones,negative,negative,negative
161813.0,"Trump: ""La paciencia estratégica con Pyongyang se ha acabado""",Pyongyang,negative,negative,negative
162547.0,Berenberg reincide en su pesimismo sobre la banca española,Berenberg,negative,negative,negative
173981.0,España pierde su segundo arbitraje internacional por el recorte de las primas a las renovables,España,negative,negative,negative
220615.0,Tercer mes a la baja en el Ibex-35,Ibex-35,negative,negative,negative
224630.0,"Se duplican los accidentes laborales mortales en Euskadi, con once fallecidos hasta marzo",accidentes laborales mortales,negative,negative,negative
227192.0,España se mantiene como el segundo país de la eurozona con mayor tasa de paro,España,negative,negative,negative
245519.0,Los carburantes repuntan a nuevos máximos y acumulan un encarecimiento de hasta el 15%,carburantes,negative,negative,negative
250324.0,Maroto prevé «meses duros» pero confía en recuperar el turismo antes del verano,Maroto,negative,negative,negative
251652.0,La mitad de los españoles reducirá sus gastos esta Navidad,mitad de los españoles,positive,negative,negative
252608.0,Una de cada diez empresas cerrará y la mitad entrará en pérdidas,Una de cada diez empresas,negative,negative,negative
257648.0,La fortaleza del euro entorpece la recuperación del Viejo Continente,fortaleza del euro,positive,negative,negative
269177.0,La UE devuelve a Panamá a su lista negra de paraísos fiscales,Panamá,negative,negative,negative
275690.0,Bruselas denunciará a España ante el TUE si no aplica las normas europeas sobre fondos de inversión,España,negative,negative,negative
