sentence_en,sentence_es_googletranslate,label
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .","Según Gran, la compañía no tiene planes de trasladar toda la producción a Rusia, aunque es ahí donde la empresa está creciendo.",1
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .","Tecnópolis prevé desarrollar por etapas un área de no menos de 100.000 metros cuadrados para albergar empresas que trabajan en tecnologías informáticas y de telecomunicaciones, según el comunicado.",1
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .","La empresa internacional de la industria electrónica Elcoteq ha despedido a decenas de empleados de sus instalaciones de Tallin; a diferencia de despidos anteriores, la compañía ha reducido las filas de sus trabajadores de oficina, informó el diario Postimees.",0
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,Con la nueva planta de producción la empresa aumentaría su capacidad para atender el aumento previsto de la demanda y mejoraría el uso de las materias primas y por tanto aumentaría la rentabilidad de la producción.,2
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,FINANCIACIÓN DEL CRECIMIENTO DE ASPOCOMP Aspocomp persigue agresivamente su estrategia de crecimiento centrándose cada vez más en placas de circuito impreso (PCB) HDI tecnológicamente más exigentes.,2
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .","Según la estrategia actualizada de la empresa para los años 2009-2012, Basware aspira a un crecimiento de las ventas netas a largo plazo de entre el 20% y el 40% con un margen de beneficio operativo del 10% al 20% de las ventas netas.",2
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .","En el último trimestre de 2010, las ventas netas de Componenta se duplicaron hasta alcanzar los 131 millones de euros, desde los 76 millones de euros del mismo período del año anterior, mientras que pasó de una pérdida antes de impuestos de 7 millones de euros a un beneficio antes de impuestos cero.",2
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .","En el tercer trimestre de 2010, las ventas netas aumentaron un 5,2% hasta 205,5 millones de euros y el beneficio operativo un 34,9% hasta 23,5 millones de euros.",2
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,"El beneficio operativo ascendió a 13,1 millones de euros desde los 8,7 millones de euros del mismo período de 2007, lo que representa un 7,7 % de las ventas netas.",2
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .","El beneficio operativo ascendió a 21,1 millones de euros, frente a los 18,6 millones de euros de 2007, lo que representa el 9,7% de las ventas netas.",2
