title,url,source,posting_date,target_sentiment
De deudas de tarjetas de crédito y el panameño de a pie,https://panamabankingnews.com/columna-de-opinion-y-analisis/de-deudas-de-tarjetas-de-credito-y-el-panameno-de-a-pie/,Panama Banking News,"agosto 26, 2025",Negative
"FMI prevé repunte económico en Panamá en 2025, pero advierte riesgos fiscales",https://panamabankingnews.com/economia/fmi-preve-repunte-economico-en-panama-en-2025-pero-advierte-riesgos-fiscales/,Panama Banking News,"agosto 26, 2025",Positive
Préstamos de autos mantienen la morosidad más baja del sistema bancario en Panamá,https://panamabankingnews.com/banca/prestamos-de-autos-mantienen-la-morosidad-mas-baja-del-sistema-bancario-en-panama/,Panama Banking News,"agosto 22, 2025",Positive
Seguridad cuántica está acelerando la protección de los activos críticos en entornos multinube,https://panamabankingnews.com/notas-de-prensa/seguridad-cuantica-esta-acelerando-la-proteccion-de-los-activos-criticos-en-entornos-multinube/,Panama Banking News,"agosto 22, 2025",Positive
Líderes regionales intercambiarán en Panamá herramientas para potenciar el valor empresarial y proteger contra riesgos fiscales,https://panamabankingnews.com/notas-de-prensa/lideres-regionales-intercambiaran-en-panama-herramientas-para-potenciar-el-valor-empresarial-y-proteger-contra-riesgos-fiscales/,Panama Banking News,"agosto 21, 2025",Positive
Nestlé Panamá entra en la cancha con sus marcas icónicas Maggi y Quesos ¡Qué Rico! como nuevos patrocinadores oficiales de la Selección Panameña de Fútbol,https://panamabankingnews.com/notas-de-prensa/nestle-panama-entra-en-la-cancha-con-sus-marcas-iconicas-maggi-y-quesos-que-rico-como-nuevos-patrocinadores-oficiales-de-la-seleccion-panamena-de-futbol/,Panama Banking News,"agosto 19, 2025",Positive
"Panamá reduce su prima de riesgo a mínimos de dos años, según MEF con datos de Bloomberg",https://panamabankingnews.com/economia/panama-reduce-su-prima-de-riesgo-a-minimos-de-dos-anos-segun-mef-con-datos-de-bloomberg/,Panama Banking News,"agosto 16, 2025",Positive
Panamá y Ecuador firman acuerdo tributario para avanzar en salida de lista de paraísos fiscales,https://panamabankingnews.com/economia/panama-y-ecuador-firman-acuerdo-tributario-para-avanzar-en-salida-de-lista-de-paraisos-fiscales/,Panama Banking News,"agosto 15, 2025",Positive
Presidente anuncia medidas para proteger la producción nacional de leche ante reducción de compras de Nestlé,https://panamabankingnews.com/economia/presidente-anuncia-medidas-para-proteger-la-produccion-nacional-de-leche-ante-reduccion-de-compras-de-nestle/,Panama Banking News,"agosto 15, 2025",Positive
Presidente Mulino se reúne con ejecutivos del Mizuho Bank para explorar financiamiento de proyectos de infraestructura,https://panamabankingnews.com/economia/presidente-mulino-se-reune-con-ejecutivos-del-mizuho-bank-para-explorar-financiamiento-de-proyectos-de-infraestructura/,Panama Banking News,"agosto 15, 2025",Positive
IKEA anuncia su expansión a Panamá y Costa Rica de la mano de Sarton Group,https://panamabankingnews.com/negocios/ikea-anuncia-su-expansion-a-panama-y-costa-rica-de-la-mano-de-sarton-group-2/,Panama Banking News,"agosto 15, 2025",Positive
